Step,Number
67,1019801550169393151087156658538869958042220188795216231674360180532828814727400506741014887202130153380186017823990809458997867447
68,3059404650508179453261469975616609874126660566385648695023080541598486444182201520223044661606390460140558053471972428376993602342
69,1529702325254089726630734987808304937063330283192824347511540270799243222091100760111522330803195230070279026735986214188496801171
70,4589106975762269179892204963424914811189990849578473042534620812397729666273302280334566992409585690210837080207958642565490403514
71,2294553487881134589946102481712457405594995424789236521267310406198864833136651140167283496204792845105418540103979321282745201757
72,6883660463643403769838307445137372216784986274367709563801931218596594499409953420501850488614378535316255620311937963848235605272
73,3441830231821701884919153722568686108392493137183854781900965609298297249704976710250925244307189267658127810155968981924117802636
74,1720915115910850942459576861284343054196246568591927390950482804649148624852488355125462622153594633829063905077984490962058901318
75,860457557955425471229788430642171527098123284295963695475241402324574312426244177562731311076797316914531952538992245481029450659
76,2581372673866276413689365291926514581294369852887891086425724206973722937278732532688193933230391950743595857616976736443088351978
77,1290686336933138206844682645963257290647184926443945543212862103486861468639366266344096966615195975371797928808488368221544175989
78,3872059010799414620534047937889771871941554779331836629638586310460584405918098799032290899845587926115393786425465104664632527968
79,1936029505399707310267023968944885935970777389665918314819293155230292202959049399516145449922793963057696893212732552332316263984
80,968014752699853655133511984472442967985388694832959157409646577615146101479524699758072724961396981528848446606366276166158131992
81,484007376349926827566755992236221483992694347416479578704823288807573050739762349879036362480698490764424223303183138083079065996
82,242003688174963413783377996118110741996347173708239789352411644403786525369881174939518181240349245382212111651591569041539532998
83,121001844087481706891688998059055370998173586854119894676205822201893262684940587469759090620174622691106055825795784520769766499
84,363005532262445120675066994177166112994520760562359684028617466605679788054821762409277271860523868073318167477387353562309299498
85,181502766131222560337533497088583056497260380281179842014308733302839894027410881204638635930261934036659083738693676781154649749
86,544508298393667681012600491265749169491781140843539526042926199908519682082232643613915907790785802109977251216081030343463949248
87,272254149196833840506300245632874584745890570421769763021463099954259841041116321806957953895392901054988625608040515171731974624
88,136127074598416920253150122816437292372945285210884881510731549977129920520558160903478976947696450527494312804020257585865987312
89,68063537299208460126575061408218646186472642605442440755365774988564960260279080451739488473848225263747156402010128792932993656
90,34031768649604230063287530704109323093236321302721220377682887494282480130139540225869744236924112631873578201005064396466496828
91,17015884324802115031643765352054661546618160651360610188841443747141240065069770112934872118462056315936789100502532198233248414
92,8507942162401057515821882676027330773309080325680305094420721873570620032534885056467436059231028157968394550251266099116624207
93,25523826487203172547465648028081992319927240977040915283262165620711860097604655169402308177693084473905183650753798297349872622
94,12761913243601586273732824014040996159963620488520457641631082810355930048802327584701154088846542236952591825376899148674936311
95,38285739730804758821198472042122988479890861465561372924893248431067790146406982754103462266539626710857775476130697446024808934
96,19142869865402379410599236021061494239945430732780686462446624215533895073203491377051731133269813355428887738065348723012404467
97,57428609596207138231797708063184482719836292198342059387339872646601685219610474131155193399809440066286663214196046169037213402
98,28714304798103569115898854031592241359918146099171029693669936323300842609805237065577596699904720033143331607098023084518606701
99,86142914394310707347696562094776724079754438297513089081009808969902527829415711196732790099714160099429994821294069253555820104
100,43071457197155353673848281047388362039877219148756544540504904484951263914707855598366395049857080049714997410647034626777910052
101,21535728598577676836924140523694181019938609574378272270252452242475631957353927799183197524928540024857498705323517313388955026
102,10767864299288838418462070261847090509969304787189136135126226121237815978676963899591598762464270012428749352661758656694477513
103,32303592897866515255386210785541271529907914361567408405378678363713447936030891698774796287392810037286248057985275970083432540
104,16151796448933257627693105392770635764953957180783704202689339181856723968015445849387398143696405018643124028992637985041716270
105,8075898224466628813846552696385317882476978590391852101344669590928361984007722924693699071848202509321562014496318992520858135
106,24227694673399886441539658089155953647430935771175556304034008772785085952023168774081097215544607527964686043488956977562574406
107,12113847336699943220769829044577976823715467885587778152017004386392542976011584387040548607772303763982343021744478488781287203
108,36341542010099829662309487133733930471146403656763334456051013159177628928034753161121645823316911291947029065233435466343861610
109,18170771005049914831154743566866965235573201828381667228025506579588814464017376580560822911658455645973514532616717733171930805
110,54512313015149744493464230700600895706719605485145001684076519738766443392052129741682468734975366937920543597850153199515792416
111,27256156507574872246732115350300447853359802742572500842038259869383221696026064870841234367487683468960271798925076599757896208
112,13628078253787436123366057675150223926679901371286250421019129934691610848013032435420617183743841734480135899462538299878948104
113,6814039126893718061683028837575111963339950685643125210509564967345805424006516217710308591871920867240067949731269149939474052
114,3407019563446859030841514418787555981669975342821562605254782483672902712003258108855154295935960433620033974865634574969737026
115,1703509781723429515420757209393777990834987671410781302627391241836451356001629054427577147967980216810016987432817287484868513
116,5110529345170288546262271628181333972504963014232343907882173725509354068004887163282731443903940650430050962298451862454605540
117,2555264672585144273131135814090666986252481507116171953941086862754677034002443581641365721951970325215025481149225931227302770
